275,190
552,190
553,218
514,220
520,379
491,377
491,331
492,333
479,322
467,320
461,319
459,319
451,336
437,346
426,357
402,356
390,353
379,344
366,333
360,323
345,308
339,297
333,279
332,261
327,253
335,249
343,245
346,247
349,265
354,277
363,292
372,307
391,321
406,330
427,331
443,321
448,312
453,305
451,284
452,270
446,258
440,245
422,236
405,232
404,232
401,237
401,250
401,252
407,249
408,248
411,251
420,263
414,273
394,273
389,269
388,252
391,227
405,219
426,221
448,226
453,242
463,260
466,277
466,292
491,305
488,217
439,217
388,215
344,215
277,214
279,191
277,187
